embedder,labelling,k,granted_fraction,n_labels_granted,mechanism,bucket,metric,mean,lo,hi,draws
bge-m3,compartment,5,0.5,20,post,answerable,recall,0.669464100952108,0.6164761904761904,0.7373955548128343,40
bge-m3,compartment,5,0.5,20,post,unanswerable,any_hit,0.025217274467911183,0.008283501877195109,0.05663976968615683,40
bge-m3,compartment,5,0.5,20,post,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,post,unanswerable,context_size,1.0281862974180263,0.574408722750813,1.5266856657773464,40
bge-m3,compartment,5,0.5,20,post,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.5,20,post,unanswerable,recall,0.009823140986081096,0.0032986815479794924,0.02194736166301732,40
bge-m3,compartment,5,0.5,20,pre,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,pre,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.5,20,pre,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.5,20,pre,all,recall,0.3166408333333333,0.1899458333333333,0.44052916666666664,40
bge-m3,compartment,5,0.5,20,pre,answerable,any_hit,0.7452582209169567,0.6971531210412578,0.8183155080213904,40
bge-m3,compartment,5,0.5,20,pre,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,pre,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.5,20,pre,answerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.5,20,pre,answerable,recall,0.6949366776719648,0.6468329799362922,0.771185661764706,40
bge-m3,compartment,5,0.5,20,pre,unanswerable,any_hit,0.028567047185733486,0.010806739735981591,0.060174641148325346,40
bge-m3,compartment,5,0.5,20,pre,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,pre,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.5,20,pre,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.5,20,pre,unanswerable,recall,0.011540413381237687,0.0038369621987404626,0.023843328467547904,40
bge-m3,compartment,5,0.75,30,_policy,all,answerable_rate,0.7398,0.5813499999999999,0.89205,40
bge-m3,compartment,5,0.75,30,_policy,all,authorized_passages,0.7507051183522903,0.566909391331079,0.9069839379034736,40
bge-m3,compartment,5,0.75,30,_q,answerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,_q,unanswerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,none,all,authorized,0.5673999999999999,0.41525,0.7824,40
bge-m3,compartment,5,0.75,30,none,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.75,30,none,all,leaked,1.2393,0.5409,1.8363999999999998,40
bge-m3,compartment,5,0.75,30,none,all,recall,0.6467333333333334,0.6467333333333334,0.6467333333333334,40
bge-m3,compartment,5,0.75,30,none,answerable,any_hit,0.7059347473398905,0.6864035148149934,0.7420857148547189,40
bge-m3,compartment,5,0.75,30,none,answerable,authorized,0.7349370575290207,0.6272500547125767,0.8660445571372678,40
bge-m3,compartment,5,0.75,30,none,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.75,30,none,answerable,leaked,0.4646601975419449,0.18955066662653866,0.6658434665311229,40
bge-m3,compartment,5,0.75,30,none,answerable,recall,0.6521994595434885,0.6300872154898399,0.6950676576119066,40
bge-m3,compartment,5,0.75,30,none,unanswerable,any_hit,0.7242684819144245,0.6434261677701513,0.8100397918579736,40
bge-m3,compartment,5,0.75,30,none,unanswerable,authorized,0.08413156910633027,0.04325337331334333,0.17146381578947367,40
bge-m3,compartment,5,0.75,30,none,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.75,30,none,unanswerable,leaked,3.4293276240055492,2.9112098520389753,3.820776895206243,40
bge-m3,compartment,5,0.75,30,none,unanswerable,recall,0.6372371225873046,0.5554153565950921,0.7123948311639314,40
bge-m3,compartment,5,0.75,30,part,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,part,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.75,30,part,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.75,30,part,all,recall,0.4957116666666666,0.4060125,0.5856083333333333,40
bge-m3,compartment,5,0.75,30,part,answerable,any_hit,0.7172730507349607,0.6946027118546585,0.7511008105470696,40
bge-m3,compartment,5,0.75,30,part,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,part,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.75,30,part,answerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.75,30,part,answerable,recall,0.6636919263131202,0.6444456117628957,0.7040827533042572,40
bge-m3,compartment,5,0.75,30,part,unanswerable,any_hit,0.05585295819662154,0.017998602050326187,0.1187012670565302,40
bge-m3,compartment,5,0.75,30,part,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,part,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.75,30,part,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.75,30,part,unanswerable,recall,0.023289889308109022,0.005707361773538244,0.048894574398960354,40
bge-m3,compartment,5,0.75,30,post,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,post,all,context_size,3.7607,3.1636,4.4591,40
bge-m3,compartment,5,0.75,30,post,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.75,30,post,all,recall,0.48683250000000006,0.39889583333333334,0.5772416666666667,40
bge-m3,compartment,5,0.75,30,post,answerable,any_hit,0.7059347473398905,0.6864035148149934,0.7420857148547189,40
bge-m3,compartment,5,0.75,30,post,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,post,answerable,context_size,4.535339802458055,4.334156533468876,4.8104493333734615,40
bge-m3,compartment,5,0.75,30,post,answerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.75,30,post,answerable,recall,0.6521994595434885,0.6300872154898399,0.6950676576119066,40
bge-m3,compartment,5,0.75,30,post,unanswerable,any_hit,0.05216159353036157,0.017854923889406647,0.1187012670565302,40
bge-m3,compartment,5,0.75,30,post,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,post,unanswerable,context_size,1.570672375994451,1.179223104793757,2.0887901479610242,40
bge-m3,compartment,5,0.75,30,post,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.75,30,post,unanswerable,recall,0.021016587352049632,0.005224448586517552,0.048894574398960354,40
bge-m3,compartment,5,0.75,30,pre,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,pre,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.75,30,pre,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.75,30,pre,all,recall,0.4957116666666666,0.4060125,0.5856083333333333,40
bge-m3,compartment,5,0.75,30,pre,answerable,any_hit,0.7172730507349607,0.6946027118546585,0.7511008105470696,40
bge-m3,compartment,5,0.75,30,pre,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,pre,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.75,30,pre,answerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.75,30,pre,answerable,recall,0.6636919263131202,0.6444456117628957,0.7040827533042572,40
bge-m3,compartment,5,0.75,30,pre,unanswerable,any_hit,0.05585295819662154,0.017998602050326187,0.1187012670565302,40
bge-m3,compartment,5,0.75,30,pre,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.75,30,pre,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.75,30,pre,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.75,30,pre,unanswerable,recall,0.023289889308109022,0.005707361773538244,0.048894574398960354,40
bge-m3,compartment,5,0.9,36,_policy,all,answerable_rate,0.8848499999999999,0.7977500000000001,0.9724499999999999,40
bge-m3,compartment,5,0.9,36,_policy,all,authorized_passages,0.8972410083000307,0.753975176759914,0.9809675683984014,40
bge-m3,compartment,5,0.9,36,_q,answerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.9,36,_q,unanswerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.9,36,none,all,authorized,0.7904,0.66595,0.9402499999999999,40
bge-m3,compartment,5,0.9,36,none,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.9,36,none,all,leaked,0.5352500000000001,0.1575,0.91125,40
bge-m3,compartment,5,0.9,36,none,all,recall,0.6467333333333334,0.6467333333333334,0.6467333333333334,40
bge-m3,compartment,5,0.9,36,none,answerable,any_hit,0.7080514885147113,0.6956325925698401,0.726012099921936,40
bge-m3,compartment,5,0.9,36,none,answerable,authorized,0.8760293640114686,0.7903006604101495,0.971266419250363,40
bge-m3,compartment,5,0.9,36,none,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.9,36,none,answerable,leaked,0.19436695969154835,0.05757068116801114,0.3482351407716371,40
bge-m3,compartment,5,0.9,36,none,answerable,recall,0.6507757681092479,0.6307865576888214,0.6698719806763286,40
bge-m3,compartment,5,0.9,36,none,unanswerable,any_hit,0.7223117468099061,0.5985,0.9176630434782608,40
